episodes,sum_agent_wins,sum_adver_wins,sum_agent_exceed_screen,sum_adver_exceed_screen,sum_agent_number_of_team_collisions,sum_agent_number_of_oppo_collisions,sum_adver_number_of_team_collisions,sum_adver_number_of_oppo_collisions,avg_agent_number_of_team_collisions,avg_agent_number_of_oppo_collisions,avg_adver_number_of_team_collisions,avg_adver_number_of_oppo_collisions,avg_agent_actor_loss,avg_agent_critic_loss,avg_adver_actor_loss,avg_adver_critic_loss,avg_agent_actor_grad_norm,avg_agent_critic_grad_norm,avg_adver_actor_grad_norm,avg_adver_critic_grad_norm,agent_elo,adver_elo,agent_goal,adver_goal
1,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,4.0,0.30000000000000004
2,0,0,1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,4.0,0.30000000000000004
3,0,0,1,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,4.0,0.30000000000000004
4,1,0,1,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1016.0,984.0,4.0,0.30000000000000004
5,1,0,1,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1014.5304984710245,985.4695015289755,4.0,0.30000000000000004
6,1,0,2,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1013.1953024918979,986.8046975081021,4.0,0.30000000000000004
7,1,0,3,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1011.9823021882219,988.0176978117781,4.0,0.30000000000000004
8,1,0,4,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1010.8804382437141,989.1195617562859,4.0,0.30000000000000004
9,1,0,5,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1009.8796211978677,990.1203788021323,4.0,0.30000000000000004
10,1,0,6,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1008.9706542304817,991.0293457695183,4.0,0.30000000000000004
11,1,0,6,4,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1008.1451600690596,991.8548399309404,4.0,0.30000000000000004
12,1,0,7,4,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1007.3955123691618,992.6044876308382,4.0,0.30000000000000004
13,1,0,8,4,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1006.7147717103544,993.2852282896456,4.0,0.30000000000000004
14,1,0,9,4,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1006.0966262029498,993.9033737970502,4.0,0.30000000000000004
15,1,0,9,5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1005.5353365986874,994.4646634013126,4.0,0.30000000000000004
16,1,0,9,6,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1005.025685730399,994.974314269601,4.0,0.30000000000000004
17,1,1,9,6,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,988.5629320627152,1011.4370679372848,4.0,0.30000000000000004
18,1,1,9,7,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,989.6148055990931,1010.385194400907,4.0,0.30000000000000004
19,1,1,10,7,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,990.5701794904311,1009.429820509569,4.0,0.30000000000000004
20,1,1,11,7,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,991.4378460069012,1008.562153993099,4.0,0.30000000000000004
21,1,1,11,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,992.2258115733159,1007.7741884266842,4.0,0.30000000000000004
22,1,1,11,9,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,992.9413631677617,1007.0586368322384,4.0,0.30000000000000004
23,1,1,12,9,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,993.5911300916507,1006.4088699083494,4.0,0.30000000000000004
24,1,1,13,9,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,994.1811411701592,1005.8188588298409,4.0,0.30000000000000004
25,1,1,14,9,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,994.7168775264256,1005.2831224735745,4.0,0.30000000000000004
26,1,1,14,10,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,995.2033211278942,1004.7966788721059,4.0,0.30000000000000004
27,1,1,15,10,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,995.6449993365835,1004.3550006634166,4.0,0.30000000000000004
28,1,1,15,11,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,996.0460257127529,1003.9539742872472,4.0,0.30000000000000004
29,1,1,15,12,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,996.4101373279218,1003.5898626720783,4.0,0.30000000000000004
30,1,1,15,13,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,996.7407288418079,1003.2592711581922,4.0,0.30000000000000004
31,1,1,15,14,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,997.0408835910042,1002.9591164089959,4.0,0.30000000000000004
32,1,1,16,14,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,997.3134019269364,1002.6865980730637,4.0,0.30000000000000004
33,1,1,16,15,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,997.560827028195,1002.4391729718051,4.0,0.30000000000000004
34,1,1,17,15,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,997.785468398678,1002.2145316013222,4.0,0.30000000000000004
35,1,1,18,15,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,997.9894232488156,1002.0105767511845,3.5,0.275
36,1,1,19,15,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,998.1745959429624,1001.8254040570378,3.5,0.275
37,1,1,20,15,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,998.3427156821589,1001.6572843178412,3.5,0.275
38,1,1,21,15,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,998.4953525781228,1001.5046474218773,3.5,0.275
39,1,1,22,15,2,0,0,0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,998.6339322616467,1001.3660677383534,3.5,0.275
40,1,1,23,15,2,0,0,0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,998.7597491566472,1001.2402508433529,3.5,0.275
41,1,1,23,16,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,998.873978539965,1001.1260214600351,3.5,0.275
42,1,1,24,16,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,998.9776874966547,1001.0223125033455,3.5,0.275
