episodes,sum_agent_wins,sum_adver_wins,sum_agent_exceed_screen,sum_adver_exceed_screen,sum_agent_number_of_team_collisions,sum_agent_number_of_oppo_collisions,sum_adver_number_of_team_collisions,sum_adver_number_of_oppo_collisions,avg_agent_number_of_team_collisions,avg_agent_number_of_oppo_collisions,avg_adver_number_of_team_collisions,avg_adver_number_of_oppo_collisions,avg_agent_actor_loss,avg_agent_critic_loss,avg_adver_actor_loss,avg_adver_critic_loss,avg_agent_actor_grad_norm,avg_agent_critic_grad_norm,avg_adver_actor_grad_norm,avg_adver_critic_grad_norm,agent_elo,adver_elo,agent_goal,adver_goal
532,8,238,212,74,0,0,0,0,0.0,0.0,0.0,0.0,0.1524257759253184,0.010260324304302534,0.8794845342636108,2.474193572998047,4.704592902271543e-05,0.9500276744365692,0.1572999358177185,71.72684478759766,740.3647630563795,1259.6352369436197,3,0.25
533,8,239,212,74,0,0,0,0,0.0,0.0,0.0,0.0,0.14381750176350275,0.2955229541597267,0.8742343187332153,4.087332725524902,2.864163525373442e-05,0.8052748789389929,0.42378532886505127,41.39443588256836,738.8313887822503,1261.1686112177488,3,0.25
534,8,240,212,74,2,0,0,0,0.6666666666666666,0.0,0.0,0.0,0.14298516139388084,0.25805661889413994,0.8927435874938965,3.6832098960876465,3.255763340348494e-05,0.8516616225242615,0.42147645354270935,44.689239501953125,737.3235822828391,1262.6764177171601,3,0.2
535,8,240,213,74,0,0,0,0,0.0,0.0,0.0,0.0,0.20689980934063593,0.5289331297390163,0.7416765689849854,2.8085052967071533,3.680255000896674e-05,1.2295975734790165,0.26458877325057983,82.8841552734375,751.8405217173685,1248.1594782826307,3,0.2
536,8,241,213,74,0,0,0,0,0.0,0.0,0.0,0.0,0.2145675209661325,0.013655719463713467,0.7716492414474487,3.3052077293395996,3.587530500226421e-05,1.178703787426154,0.8215316534042358,99.69478607177734,750.1023307266852,1249.897669273314,3,0.2
537,8,242,213,74,0,0,0,0,0.0,0.0,0.0,0.0,0.19870130717754364,0.5142243940305585,0.6119930744171143,2.9868433475494385,5.276851660103906e-05,1.0855992883443832,0.24646319448947906,19.444578170776367,748.3967425433634,1251.6032574566357,3,0.2
538,8,243,213,74,0,0,0,0,0.0,0.0,0.0,0.0,0.13228016967574754,0.013328407580653826,0.5915594100952148,2.3393030166625977,3.380888604927653e-05,1.0931855241457622,0.052252888679504395,14.47174072265625,746.7225840385931,1253.277415961406,3,0.2
539,8,244,213,74,0,0,0,0,0.0,0.0,0.0,0.0,0.1463449945052465,0.5238233401129643,0.5955044031143188,3.4382011890411377,3.8798437344667036e-05,1.1965724627176921,0.1043245792388916,24.751937866210938,745.0787432868179,1254.921256713181,3,0.2
540,8,245,213,74,0,0,0,0,0.0,0.0,0.0,0.0,0.12179283425211906,0.013094812398776412,0.607929527759552,2.9009852409362793,3.809400580697305e-05,1.6223797996838887,0.08600182086229324,60.233619689941406,743.4641654344152,1256.5358345655839,3,0.2
541,8,246,213,74,0,0,0,0,0.0,0.0,0.0,0.0,0.13512600834170976,0.2743265059155722,0.6531116962432861,5.655583381652832,4.856973040053466e-05,2.1613128980000815,0.19775620102882385,41.55073928833008,741.877848907453,1258.1221510925461,3,0.2
542,8,247,213,74,0,0,0,0,0.0,0.0,0.0,0.0,0.19767540444930395,0.2586203919102748,0.705101490020752,3.6994285583496094,4.123720221590096e-05,1.3717742760976155,0.19578228890895844,37.2365837097168,740.3188419259875,1259.6811580740116,3,0.2
543,8,248,213,74,0,0,0,0,0.0,0.0,0.0,0.0,0.23482108054061732,0.5229550612469515,0.7311884164810181,3.7725441455841064,4.2055538263715185e-05,2.0274677773316703,0.08070344477891922,22.777816772460938,738.786239295917,1261.2137607040822,3,0.2
544,8,249,213,74,0,0,0,0,0.0,0.0,0.0,0.0,0.28948484112819034,0.7765989303588867,0.8046979904174805,4.704517364501953,4.1466953310494624e-05,2.606459657351176,0.06742691248655319,44.30289840698242,737.2791794525275,1262.7208205474717,3,0.2
545,8,250,213,74,0,0,0,0,0.0,0.0,0.0,0.0,0.260895440975825,0.030176871300985415,0.7917056083679199,1.7570856809616089,4.106939619911524e-05,2.5893677274386087,0.24783077836036682,10.04912281036377,735.7968417326138,1264.2031582673856,5,0.25
546,8,251,213,74,0,0,0,0,0.0,0.0,0.0,0.0,0.1792269100745519,0.023416812842090923,0.7794778347015381,2.5258803367614746,3.692059120415555e-05,2.0393187602361045,0.23610898852348328,26.613903045654297,734.3384438544736,1265.6615561455258,5,0.25
547,8,252,213,74,0,0,0,0,0.0,0.0,0.0,0.0,0.1211032538364331,0.2675279032749434,0.7461111545562744,3.2936787605285645,4.032478864246514e-05,0.9087516566117605,0.7093056440353394,112.45024871826172,732.9032395872158,1267.0967604127834,5,0.25
548,8,253,213,74,0,0,0,0,0.0,0.0,0.0,0.0,0.11241078128417333,0.009678181571265062,0.6467054486274719,4.0008344650268555,4.382619348083002e-05,0.9636535048484802,0.15928690135478973,105.9585189819336,731.4905165927098,1268.5094834072893,5,0.25
549,8,254,213,74,0,0,0,0,0.0,0.0,0.0,0.0,0.17017039159933725,0.01447137623714904,0.6157550811767578,2.0622589588165283,5.000163643368675e-05,0.8083465099334717,0.26376521587371826,67.83071899414062,730.0995944251782,1269.9004055748208,5,0.25
550,8,254,214,74,0,0,0,0,0.0,0.0,0.0,0.0,0.24349520107110342,0.7675411658516774,0.5751239061355591,0.9912629127502441,5.126403023799261e-05,2.454396585623423,0.4443163275718689,13.132150650024414,744.7298226749251,1255.2701773250737,5,0.25
551,8,255,214,74,0,1,0,1,0.0,0.3333333333333333,0.0,1.0,0.2499047815799713,0.016069810177820425,0.5784412622451782,3.3840432167053223,4.72014007755206e-05,1.4894336064656575,0.3731530010700226,40.90913391113281,743.1213923779501,1256.8786076220488,5,0.25
